Year	Location	State	Entry	Grainyield	Testweight	Plantheight
2007	GTI	MT	MT0516	51.5666667	58.6976	86.666667
2007	GTI	MT	06MSP3	51	57.90744	78.333333
2007	GTI	MT	01S0042-10	50.6	58.95158	77.333333
2007	GTI	MT	SD3943	50.6	56.75042	89.666667
2007	GTI	MT	00S0211-29-4	50.5666667	54.52104	84
2007	GTI	MT	ND04/3-21	50.3666667	60.1086	88.666667
2007	GTI	MT	ND05/1-3	50.2666667	56.32712	86.666667
2007	GTI	MT	ND05/1-1	49.6	58.81048	91.333333
2007	GTI	MT	SD3944	48.2	55.53696	94.333333
2007	GTI	MT	MT0415	47.8333333	57.4277	87.666667
2007	GTI	MT	BZ903-513W	47.3	58.10498	84.333333
2007	GTI	MT	SD3942	46.2	55.62162	87.666667
2007	GTI	MT	SD3956	46.1666667	56.52466	96
2007	GTI	MT	MN02255	46.1333333	53.1947	82
2007	GTI	MT	ND05/1-2	45.7333333	57.68168	104
2007	GTI	MT	MN03358-4	45.0333333	56.10136	87
2007	GTI	MT	MN03119-4	44.7333333	58.50006	86.666667
2007	GTI	MT	Keene	44.4666667	58.24608	103
2007	GTI	MT	00S0291-3	44.2666667	54.12596	80.666667
2007	GTI	MT	2375	44	54.83146	93
2007	GTI	MT	MN03196	43.8	55.67806	80.333333
2007	GTI	MT	00S0292-14	43.6666667	56.89152	71
2007	GTI	MT	NDSW0430	43.1666667	56.63754	87.333333
2007	GTI	MT	NDSW0481	42.6333333	55.3112	91.333333
2007	GTI	MT	SD3948	42.4	56.63754	92
2007	GTI	MT	NDSW0601	42.3333333	53.84376	75.666667
2007	GTI	MT	Verde	42.1333333	55.05722	76.333333
2007	GTI	MT	BW357	41.9	58.66938	108
2007	GTI	MT	ND04/3-20	41.3333333	54.77502	95
2007	GTI	MT	WA008013	41	59.29022	109.333333
2007	GTI	MT	ES95	40.3	54.37994	105
2007	GTI	MT	CA905-749	39.4666667	56.94796	84.333333
2007	GTI	MT	NDSW0449	39.1	57.0044	88
2007	GTI	MT	CA905-776	38.9333333	54.40816	77.666667
2007	GTI	MT	BW873	37.8333333	56.32712	100.333333
2007	GTI	MT	BW362	36.9333333	56.77864	99
2007	GTI	MT	MN03308-4	36.0666667	54.54926	84.666667
2007	GTI	MT	06MSP18	35.2333333	53.70266	76.333333
2007	GTI	MT	Chris	34.3333333	56.35534	104.666667
2007	GTI	MT	CA905-750	33.5333333	58.44362	83
2007	GTI	MT	Marquis	31.8333333	56.94796	104.666667
2007	CUET	SD	SD3942	69.2326667	59.9204667	79
2007	CUET	SD	SD3944	67.7361333	60.2026667	85.6666667
2007	CUET	SD	ND04/3-21	66.8216667	61.2374	86.3333333
2007	CUET	SD	00S0211-29-4	64.2552	61.4255333	77.6666667
2007	CUET	SD	ND05/1-3	63.1769333	57.9450667	88
2007	CUET	SD	00S0291-3	63.0416	60.0145333	78.6666667
2007	CUET	SD	ND05/1-1	62.299149	61.1397519	90
2007	CUET	SD	ND04/3-20	61.7132	58.6035333	99.3333333
2007	CUET	SD	SD3948	60.7784	61.0492667	86
2007	CUET	SD	NDSW0430	60.516	60.3908	86
2007	CUET	SD	SD3943	59.86	60.1086	84
2007	CUET	SD	MN03358-4	58.1708	60.3908	79
2007	CUET	SD	00S0292-14	57.4286667	59.8264	70
2007	CUET	SD	SD3956	57.3877333	61.4255333	85.6666667
2007	CUET	SD	01S0042-10	57.1990667	61.2374	71
2007	CUET	SD	MN02255	56.5625885	59.25915	80.3333333
2007	CUET	SD	MN03196	56.416	60.1086	75.3333333
2007	CUET	SD	ND05/1-2	55.5509333	59.4501333	92
2007	CUET	SD	NDSW0601	53.0909333	57.2866	81.3333333
2007	CUET	SD	NDSW0481	52.5497333	58.1332	88.3333333
2007	CUET	SD	06MSP18	52.1970667	59.5442	77
2007	CUET	SD	MN03119-4	51.3442667	60.1086	80.3333333
2007	CUET	SD	CA905-776	49.9994667	56.5340667	80
2007	CUET	SD	Verde	49.722349	58.4588519	78
2007	CUET	SD	MT0415	48.2324	58.4154	86
2007	CUET	SD	MN03308-4	47.7362667	60.0145333	85.3333333
2007	CUET	SD	CA905-750	47.3549333	60.1086	80.6666667
2007	CUET	SD	NDSW0449	46.5637333	58.9798	92
2007	CUET	SD	BW873	44.4276	57.6628667	88.3333333
2007	CUET	SD	CA905-749	43.0172	59.0738667	78
2007	CUET	SD	06MSP3	42.7834667	59.0738667	70
2007	CUET	SD	WA008013	39.3917885	59.7323333	104.666667
2007	CUET	SD	2375	38.294	58.5094667	84.6666667
2007	CUET	SD	ES95	36.8836	55.5934	100
2007	CUET	SD	Keene	35.9365333	58.2272667	97.6666667
2007	CUET	SD	BW357	33.8824	57.9450667	97
2007	CUET	SD	BW362	32.7138667	58.5094667	98
2007	CUET	SD	MT0516	25.9776	53.4298667	79.6666667
2007	CUET	SD	Chris	22.8205333	58.0391333	102
2007	CUET	SD	BZ903-513W	19.5652	52.207	81
2007	CUET	SD	Marquis	16.482	55.6874667	94.3333333
2007	Mymensingh	ND	00S0211-29-4	51.7	59.4	82
2007	Mymensingh	ND	01S0042-10	49.9	61.3	84
2007	Mymensingh	ND	ND05/1-3	49.7	59.1	84
2007	Mymensingh	ND	MN03358-4	48.2	60.2	86
2007	Mymensingh	ND	00S0291-3	47.9	59.1	84
2007	Mymensingh	ND	06MSP18	47.4	58.9	80
2007	Mymensingh	ND	SD3944	46.1	59.6	87
2007	Mymensingh	ND	MN02255	45	58.5	82
2007	Mymensingh	ND	MN03308-4	44.7	60.4	87
2007	Mymensingh	ND	ND05/1-1	44.5	58.6	88
2007	Mymensingh	ND	00S0292-14	43.7	60.2	90
2007	Mymensingh	ND	NDSW0601	43.3	58.3	82
2007	Mymensingh	ND	ND04/3-21	43	59.9	83
2007	Mymensingh	ND	NDSW0430	42.6	59.1	83
2007	Mymensingh	ND	CA905-776	42.5	56.9	80
2007	Mymensingh	ND	Verde	42.2	59.3	80
2007	Mymensingh	ND	CA905-749	41.4	60.2	88
2007	Mymensingh	ND	WA008013	40.9	60.5	97
2007	Mymensingh	ND	ND04/3-20	40.3	57.2	93
2007	Mymensingh	ND	BW873	39.7	60	91
2007	Mymensingh	ND	06MSP3	39	58.8	75
2007	Mymensingh	ND	ND05/1-2	38.5	59.5	93
2007	Mymensingh	ND	SD3956	38.4	60.4	87
2007	Mymensingh	ND	CA905-750	37.8	60.7	88
2007	Mymensingh	ND	NDSW0481	36.6	58.7	85
2007	Mymensingh	ND	MN03196	36.5	60	77
2007	Mymensingh	ND	MT0415	36.1	59.3	87
2007	Mymensingh	ND	SD3942	35.8	59.3	85
2007	Mymensingh	ND	NDSW0449	35.2	59.7	85
2007	Mymensingh	ND	MN03119-4	34	60.3	89
2007	Mymensingh	ND	SD3948	33.8	60.8	86
2007	Mymensingh	ND	BW362	31.7	60.4	83
2007	Mymensingh	ND	SD3943	31.7	59.7	87
2007	Mymensingh	ND	2375	31.6	59.2	85
2007	Mymensingh	ND	Keene	30.2	59.8	97
2007	Mymensingh	ND	ES95	29.5	57.2	95
2007	Mymensingh	ND	BZ903-513W	28.2	59.1	80
2007	Mymensingh	ND	BW357	26.6	60.1	92
2007	Mymensingh	ND	Marquis	26.5	60.5	101
2007	Mymensingh	ND	MT0516	26.1	57.1	82
2007	Mymensingh	ND	Chris	20.9	58.5	96
2007	Rangpur	MN	06MSP18	90.4	62.3	79.3
2007	Rangpur	MN	SD3942	83.8	62.6	75.3
2007	Rangpur	MN	00S0211-29-4	81.5	61.9	75.7
2007	Rangpur	MN	SD3943	81	62.5	76
2007	Rangpur	MN	Verde	80.7	61.9	84
2007	Rangpur	MN	SD3944	79.3	61.5	79.7
2007	Rangpur	MN	MN03358-4	78	62	79
2007	Rangpur	MN	06MSP3	77.8	60.9	71
2007	Rangpur	MN	00S0291-3	77.4	61.5	80.3
2007	Rangpur	MN	ND04/3-20	76.4	60.9	97
2007	Rangpur	MN	MN02255	75.7	61.2	80.7
2007	Rangpur	MN	MN03308-4	75.7	62.7	81
2007	Rangpur	MN	MN03196	75.3	63.7	80
2007	Rangpur	MN	ND05/1-3	75.3	61.6	88
2007	Rangpur	MN	CA905-776	74.9	59.1	82.7
2007	Rangpur	MN	00S0292-14	74.6	61.6	74.3
2007	Rangpur	MN	NDSW0449	74.3	61.9	87
2007	Rangpur	MN	ND05/1-1	74.1	62.9	86.3
2007	Rangpur	MN	NDSW0430	74	62.5	81.7
2007	Rangpur	MN	SD3956	73.4	62.6	80.7
2007	Rangpur	MN	ND05/1-2	72.9	62.2	94.7
2007	Rangpur	MN	ND04/3-21	72.8	63.2	80
2007	Rangpur	MN	2375	72.2	62.3	79.3
2007	Rangpur	MN	01S0042-10	72.1	61.6	72.7
2007	Rangpur	MN	SD3948	70	62.3	83.7
2007	Rangpur	MN	CA905-749	69.3	63.3	86.7
2007	Rangpur	MN	NDSW0601	69.3	58.8	81
2007	Rangpur	MN	CA905-750	68.3	63	82
2007	Rangpur	MN	BW873	67.7	61.5	93.3
2007	Rangpur	MN	BW362	66.8	62.2	89.3
2007	Rangpur	MN	MN03119-4	66.5	62	80.7
2007	Rangpur	MN	NDSW0481	65.7	60.6	85.7
2007	Rangpur	MN	WA008013	64.8	60.8	88
2007	Rangpur	MN	MT0415	64.3	61.6	87.3
2007	Rangpur	MN	BW357	62	62.5	96
2007	Rangpur	MN	ES95	60.6	58.8	97
2007	Rangpur	MN	Keene	59	60.9	91.7
2007	Rangpur	MN	MT0516	56.5	58.9	85.3
2007	Rangpur	MN	BZ903-513W	48.9	59.4	88
2007	Rangpur	MN	Chris	48.7	59.8	94.3
2007	Rangpur	MN	Marquis	42.6	58.8	102.3
2007	EXT	MB	MT0415	32.31984	62.16	69
2007	EXT	MB	ND05/1-3	32.17024	62.0823	65
2007	EXT	MB	SD3956	31.92416	62.6262	68
2007	EXT	MB	NDSW0449	31.01376	61.5384	72
2007	EXT	MB	SD3948	30.35632	63.6363	68
2007	EXT	MB	SD3944	29.79088	61.2276	67
2007	EXT	MB	CA905-776	29.00608	60.6837	62
2007	EXT	MB	MN03119-4	28.90224	61.8492	67
2007	EXT	MB	BZ903-513W	28.8936	63.0924	65
2007	EXT	MB	BW357	28.64464	62.8593	76
2007	EXT	MB	SD3942	28.2672	62.4708	59
2007	EXT	MB	MN03308-4	27.27712	61.8492	68
2007	EXT	MB	SD3943	26.7848	61.8492	63
2007	EXT	MB	ND04/3-20	26.53712	62.3154	67
2007	EXT	MB	Keene	26.1216	62.4708	79
2007	EXT	MB	00S0292-14	26.06192	61.383	61
2007	EXT	MB	WA008013	25.88736	62.2377	79
2007	EXT	MB	BW873	25.79824	61.4607	71
2007	EXT	MB	ND05/1-2	25.71184	62.6262	70
2007	EXT	MB	01S0042-10	25.60192	62.3931	59
2007	EXT	MB	ND04/3-21	25.48288	63.4032	62
2007	EXT	MB	ND05/1-1	25.44704	62.5485	61
2007	EXT	MB	MN03196	25.26496	64.0248	62
2007	EXT	MB	Mckenzie	25.06976	60.8391	74
2007	EXT	MB	MN03358-4	24.90928	60.5283	60
2007	EXT	MB	00S0211-29-4	24.80928	60.7614	57
2007	EXT	MB	MN02255	24.48	62.16	62
2007	EXT	MB	Verde	24.18992	61.5384	66
2007	EXT	MB	06MSP18	23.94704	61.3053	60
2007	EXT	MB	06MSP3	23.63072	61.2276	53
2007	EXT	MB	BW362	23.6024	61.6938	73
2007	EXT	MB	NDSW0430	23.15984	62.6262	68
2007	EXT	MB	ES95	22.51008	58.9743	78
2007	EXT	MB	2375	22.45056	60.606	63
2007	EXT	MB	00S0291-3	22.30192	60.2175	61
2007	EXT	MB	NDSW0601	22.0584	61.0722	64
2007	EXT	MB	MT0516	22.00448	62.0046	60
2007	EXT	MB	CA905-749	21.52128	63.5586	65
2007	EXT	MB	CA905-750	21.20864	63.7917	63
2007	EXT	MB	NDSW0481	20.76896	61.6161	71
2007	EXT	MB	Chris	16.00256	60.8391	78
2007	EXT	MB	Marquis	15.11488	60.9945	80
2007	DU	SD	SD3942	69.2326667	59.9204667	79
2007	DU	SD	SD3944	67.7361333	60.2026667	85.6666667
2007	DU	SD	ND04/3-21	66.8216667	61.2374	86.3333333
2007	DU	SD	00S0211-29-4	64.2552	61.4255333	77.6666667
2007	DU	SD	ND05/1-3	63.1769333	57.9450667	88
2007	DU	SD	00S0291-3	63.0416	60.0145333	78.6666667
2007	DU	SD	ND05/1-1	62.299149	61.1397519	90
2007	DU	SD	ND04/3-20	61.7132	58.6035333	99.3333333
2007	DU	SD	SD3948	60.7784	61.0492667	86
2007	DU	SD	NDSW0430	60.516	60.3908	86
2007	DU	SD	SD3943	59.86	60.1086	84
2007	DU	SD	MN03358-4	58.1708	60.3908	79
2007	DU	SD	00S0292-14	57.4286667	59.8264	70
2007	DU	SD	SD3956	57.3877333	61.4255333	85.6666667
2007	DU	SD	01S0042-10	57.1990667	61.2374	71
2007	DU	SD	MN02255	56.5625885	59.25915	80.3333333
2007	DU	SD	MN03196	56.416	60.1086	75.3333333
2007	DU	SD	ND05/1-2	55.5509333	59.4501333	92
